растирать	несов.\nсм. растереть.
звон	м.\nшыңгыроо, кыңгыроо, даңылдоо, шыңгыраган үн, зыңылдоо;\nзвон колокола коңгуроонун даңылдашы;\nзвон стаканов стакандардын шыңгырашы;\nзвон в ушах кулак зыңылдоо;\nслышал звон, да не знает, где он погов. үнүн укканы менен, анын кайдан чыкканын билбейт; билер-билбес калжырай берет;\nпошёл звон по всему городу разг. бүткүл шаарга сөз дуулдап тарап кетти.
массивный,	­ая,-ое\nоор, чоң;\nмассивный стол оор, чоң үстөл.
косовище	ср.\nчалгынын сабы.
электробур	м.\nэлектробур (электр кубаты менен иштей турган чоң бургу, чоң буроо; бул - жердин астынан кен издеген кезде колдонулат).
смазывать	несов.\nсм. смазать.
лечить	несов. кого-что\nдарылоо.
впрок	нареч.\n1. (про запас) камдап, запас кылып;\nзаготовить впрок запас кылып (камдап) коюу;\n2. (на пользу) марып, пайда көрүп;\nэто не пошло ему впрок андан ал марып кеткен жок.
демонстратор	м.\nдемонстратор, көрсөтүүчү.
накопать	сов. что, чего\n1. (прорыть) казуу (бир нече жерден);\nнакопать пять ям беш чуңкур казуу;\n2. (выкопать) казып алуу, казып чыгаруу;\nнакопать мешок картофеля бир мешок картошка казып алуу.
нацистка	женск. р. к нацист.
наркозный,	­ая, -ое\nнаркоз-го т.
сравнимость	ж.\nтеңешүүгө мүмкүндүк, теңештирүүгө боло тургандык, салыштырууга мүмкүндүк, салыштырууга боло тургандык.
неприятный,	­ая, -ое\nжаман, жагымсыз;\nнеприятный голос жагымсыз үн.
обмер	м.\n1. өлчөө, ченөө;\nпроизвести обмер жилплощади турак үй аянтын ченеп чыгуу;\n2. (обман при измерении) кем өлчөп берүү, метрден алдоо.
лихо	лихо I\nср.\nне поминайте лихом жакшы жүрдүк, жаман жүрдүк - көңүлүңүзгө жаман албаңыз; жаман жакшы ичиңизде болсун.\nлихо II\nнареч.\nчакчарылып;\nон лихо промчался на коне ал ат менен чакчарылып чаап өтүп кетти;\nлихо заломить шапку тебетейин алчылантап кийүү.
сбиться	сов.\n1. (заблудиться) жолдон адашуу, адашуу;\n2. перен. (запутаться) чаташтыруу;\n3. (стоптаться) жемирилүү, жешилүү, майтарылуу (мис. аттын такасы);\n4. (сгуститься) түшүү (бышылып май түшүү);\n5. (сдвинуться с места) ордунан жылуу, кыйшаюу;\nшляпа сбилась набок шляпа бир жакка кыйшайды;\nсбиться в кучу чогулуп үймөлөктөшүү;\nсбиться с ноги буттан жаңылуу, жүрүштөн жаңылуу, бут чаташуу (стройдо жүргөндө);\nсбиться с такта такттан адашуу (жаңылуу);\nсбиться с ног разг. суй жыгылуу.
досадовать	несов. на кого-что\nыза болуу;\nя досадовал на приятелей мен жолдошторума ыза болдум.
вздумать	сов. с неопр.\nойго келүү, ойлоо, ой туулуу, пикирге келүү;\nон вздумал прокатиться на лодке ал кайыкка түшүп тамаша кылууну ойлоду;\nне вздумай разг. -чы болбо, -п жүрбө;\nне вздумай опоздать кечигип калчу болбо, кечигип калып жүрбө.
квасцы	только мн. хим.\nквасцы (ачуу таш; химиялык туздун бир түрү).
камертон	м. муз.\nкамертон (музыкалык инструменттерди күүлөө үчүн колдонулуучу, болоттон жасалган эки айры инструмент).
тамбур	тамбур I\nм.\nтамбур (1. боз үй сыяктуу салынган үйдүн цилиндрдик же көп кырдуу бир бөлүгү; 2. шамалдан, жаандан коргоо үчүн салынган эшик алдындагы кичине үй; 3. ж.-д. вагондун чыга беришиндеги жабык аянтча).\nтамбур II\nм.\n(род вышивки) тамбур (илме шибеге менен сайылган сайманын бир түрү).\nтамбур III\nм. муз.\n1. уст. (барабан) добулбас;\n2. (род мандолины) домбура.
знахарка	ж.\nэмчи-домчу, дарымчы (аял), бүбү.
приковать	сов. кого-что\n1. (прикрепить ковкой) кадап, чынжырлап салуу;\n2. перен. жылгыс кылуу, жылдырбай салуу;\nстрах приковал его к месту коркунуч аны ордунан козголтпой (жылдырбай) салды;\n3. перен. (привлечь) буруп алуу, тартып алуу;\nприковать к себе внимание слушателей угуучулардын көңүлүн өзүнө буруп алуу.
докупать	несов.\nсм. докупить.
гистология	ж.\nгистология (адамдын жана айбандардын денесинин микроскоптук түзүлүшүн изилдөөчү анатомиянын бир бөлүмү).
резко	нареч.\n1. (внезапно) чукул, тез;\nпогода резко изменилась аба ырайы чукул өзгөрүлдү;\n2. (неприятно) жагымсыз, жаман, ачуу, күчтүү;\nего голос резко прозвучал аныи үнү эң эле ачуу (жагымсыз) чыкты;\n3. (грубо) катуу, одоно, копол, корс;\nон резко ответил ал одоно жооп берди;\nрезко обойтись катуу мамиле кылуу, корс мамиле кылуу.
нагулять	сов. что, чего\nоттоп жүрүп семирүү;\nскот нагулял жиру мал оттоп жүрүп семирди.
вкус	м.\n1. даам, татык;\nприятный на вкус даамы жакшы;\n2. (чувство, понимание изящного) кооздук сезим;\nодеваться со вкусом кийимдин жарашыгын таап кийүү;\nтонкий вкус назик кооздук сезим;\nдело вкуса кимге кандай (бирөөгө жагат, бирөөгө жакпайт);\nвходить во вкус мазасын сезе баштоо;\nна вкус и цвет товарищей нет посл. ар кимдин каалашы өзүнчө.
тигрёнок	м. (мн. тигрята)\nжолборстун баласы.
горячиться	несов.\nканы кызуу, кызаңдоо, ачуулануу;\nты напрасно горячишься сен бекер эле кызаңдайсың;\nне горячись в споре талашта кызаңдаба.
приодеться	сов. разг.\nкийинүү, түзүк кийинүү.
позже	сравн. ст. от нареч. поздно\nкечирээк, кийинирээк;\nон пришёл позже меня ал менден кечирээк келди;\nони займутся этим позже алар бул иштерге кийинирээк киришет.
высаживаться	несов.\n1. см. высадиться;\n2. страд. к высаживать.
неиссякаемый,	­ая, -ое\nсоолгус, түгөнбөс, түгөнгүс;\nнеиссякаемый источник түгөнгүс булак.
поменять	сов. кого-что\n1. (обменить) алмашуу, айырбаштоо;\n2. (заменить) алмаштыруу, алыштыруу, айырбаш кылуу.
отрубить	сов.\n1. что кесе чабуу, керте чабуу, чаап кесүү;\nотрубить сук бутакты кесе чабуу;\n2. разг. (резко ответить) орой жооп берүү, кесе жооп берүү.
уж	уж I\nм.\nсары жылан (уусуз, чакпай турган жылан);\nизвиваться ужом амал-айла менен ичи-койнуна кирип кошаматтык кылуу.\nуж II\n1 нареч. см. уже;\nон уж пришёл ал келип калды;\n2. частица усил. да, деле, деги эле;\nне так уж плохо анчалык деле жаман эмес;\nочень уж много дела иш деги эле көп;\nуж я вас ждал, ждал мен деги силерди аябай күттүм, күтө-күтө чарчадым;\nвот уж нет! разг. бул болбойт!; бул таптакыр туура эмес!;\nвот уж неправда! разг. бул барып турган калп!; бул деги эле туура эмес!
завалиться	сов. разг.\n1. (упасть за что-л.) түшүп калуу;\nкнига завалилась за полку китеп текченин артына түшүп кетти;\n2. разг. (лечь, улечься) жатып калуу, жантая кетүү;\nзавалиться спать жатып алып уктай кетүү.
конторский,	­ая, -ое\nконтора-га т.;\nконторский служащий контора кызматкери.
смущение	ср.\nоңойсуздануу, уялып кысылуу.
неблагородный,	­ая, -ое\n1. (низменный) жаман бейил, бейли жаман, тууралыгы жок, изги эмес;\n2. (о металлах) асыл эмес, асылдыгы жок (темир, жез сыяктуу металлдар жөнүндө).
активный,	­ая, -ое\n1. (деятельный, энергичный) активдүү, ишкер, иштиктүү;\nактивный участник активдүү катышуучу;\n2. (быстро и сильно действующий) активдүү, күчөгөн, кабылдаган;\nактивный процесс туберкулёза кургак учуктун күчөгөн процесси;\nактивный баланс эк. активдүү баланс (кириш статьясы чыгыш статьясынан ашып түшкөн баланс);\nактивная оборона воен. активдүү коргоо;\nактивное избирательное право активдүү шайлоо укугу (шайлоого укуктуулук).
потёртый,	­ая, -ое\n1. прич. от потереть;\n2. прил. сүрүлгөн, сүрүлүп калган, кырылып калган, көөнөргөн;\nпотёртый костюм кырылып калган костюм.
федеративный,	­ая, -ое\nфедеративдик;\nфедеративное государство федеративдик мамлекет.
обсасывать	несов.\nсм. обсосать.
напачкать	сов. разг.\nбулгоо, булгап салуу.
моечный,	­ая, -ое\nжуугуч;\nмоечная машина жуугуч машина.
надставлять	несов.\nсм. надставить.
держатель	держатель I\nм.\n(владелец) кымбаттуу кагаздардын ээси.\nдержатель II\nм. тех.\nкыстыргыч, кармагыч, кыпчыгыч;\nдержатель для бумаг кагаз кыпчыгыч.
квартирный,	­ая, -ое\nквартира 1-ге т.;\nквартирная плата квартира акысы.
халтурить	несов. неодобр.\nхалтура кылуу (1. жүр нары кыла салуу; 2. чүргөй салуу).
рафинировать	сов. и несов. что\n1. тазалоо (ар түрдүү кошундулардан тазалоо);\nрафинировать нефть нефтини тазалоо;\n2. (превращать в рафинад) чакмактоо, чакмак жасоо;\nрафинировать сахар чакмак кант жасоо.
сени	только мн.\nсени (үйдүн кире берер жериндеги бөлмө).
ондатра	ж.\nондатра (териси кымбат кемирүүчүлөрдүн бир түрү).
честной	­ая, -ое\nуст.\nурматтуу, сыйлуу, кадырдуу, беделдүү, ардактуу;\nчестной народ урматтуу эл.
прыщик	м. уменьш. от прыщ\nсиркектенип чыккан майда ысык.
неработоспособный,	­ая, -ое\nишке (жумушка) жарамсыз, ишке (жумушка) ийкемсиз, ишке жөндөмү жок, ишке жөндөмсүз.
бук	м.\nбук (катуу жыгачтын бир түрү).
мягкотелый,	­ая, -ое\n(слабохарактерный) бош, шөлбүрөгөн, көпшөк.
жилец	м.\nтуруучу (квартирада, патирде туруучу);\nон не жилец на этом свете разг. ал мал болбойт.
ловкий,	­ая, -ое\n1. (искусный, умелый) шамдагай, машыккан, маш;\n2. перен. (изворотливый) эптүү, эпчил.
немка	женск. р. к немец;\nнемка.
путный,	­ая, -ое\nразг.\nбилген, колунан келген, ишмер, түшүнгөн; жарытылуу, берекелүү;\nиз этого дела ничего путного не выйдет бул иштен жарытылуу эч нерсе чыкпайт.
сварка	ж. тех.\nширетүү (мис. сынган темирди).
четырёхсотлетний,	­яя, -ее\nтөрт жүз жылдык.
доверить	сов.\n1. кого-что ишенүү, тапшыруу, амакат калтыруу;\nдоверить тайну кому-л. ишенип бирөөгө сырын айтуу;\n2. что, офиц. ишеним кагаз же тапшырма берүү.
смоляной,	­ая, -ое\nсмола-га т.;\nсмоляная бочка чайыр бочкасы.
латунный,	­ая, -ое\nлатунь-ге т.;\nлатунная проволока латунь сым.
понять	сов. кого-что\nтүшүнүү, билүү, аңдоо;\nя не понял вашу мысль мен сиздин оюңузга түшүнбөдүм;\nдать понять жандатып айтып түшүндүрүү.
подмостки	только мн.\n1. (помост) тактайдан жасаган секиче аянт;\n2. перен. (сцена) подмостки, сахна аянты;\nтеатральные подмостки театрдын сахна аянты.
кумыки	мн.\nкумыктар.
лупоглазый,	­ая, -ое\nразг.\nалагай, бакыракай.
проезжий,	­ая, -ее\n1. (годный для проезда) жүрүүгө жарактуу (жол, көпүрө);\n2. в знач. сущ. м., ж. жүргүнчү, жолоочу (адам).
обсчитать	сов. кого\nкем эсептөө, кем эсептеп берүү, кем эсептеп берип алдоо.
равнодействующий	­ая, -ее\nфиз.\n1. бирдей аракет кылуучу;\nравнодействующая сила бирдей аракет кылуучу күч (бир нече күчкө барабар келе турган бир күч);\n2. в знач. сущ. ж. бирдей аракет кылуучу күч (бир нече күчтүн ордун басуучу күч).
убирать	несов.\nсм. убрать.
протрезветь	сов.\nмасы таркоо, соолугуу.
хитрость	ж.\n1. (лукавство, коварство, хитрый поступок) амалдуулук, амалкөйлүк, куулук, жаман ойлуулук, арамзалык, эки жүздүүлүк, иле;\nвзять хитростью амалдуулук менен алуу;\nпуститься на хитрости амалдуулук кылуу, амалдуулукту колдонуу;\n2. (трудность, сложность) айлалуулук, татаалдык;\nхитрость устройства түзүлүшүнүн татаалдыгы;\nвот в чём хитрость айлалуулук мына ушунда.
хормейстер	м. театр.\nхормейстер (хор башкаруучу адам).
молоток	м.\nбалка;\nпродать с молотка разг. уст. тоорук кылып сатуу.
подлететь	сов.\n1. (прилететь) жанына учуп келүү;\n2. перен., разг. (подбежать) чуркап, зымырап жанына келүү (баруу).
ветеринария	ж.\nветеринария (айбандардын түзүлүштөрү, сорулары жана аларды дарылоо жөнүпдөгү илим).
вечность	ж.\nтүбөлүктүк, маңгилик, далай убак, көп убакыт;\nкануть в вечность зымкыя жоголуу;\nцелую вечность көп убакыт.
применительно	нареч.\nсалыштырып караганда, ылайыктуу;\nприменительно к местным условиям жергиликтүү шарттарга ылайыктуу;\nприменительно к данному случаю ушул учурга ылайыктап көргөндө.
несподручный,	­ая, -ое\nпрост.\nоңтойсуз, ыксыз, эпсиз.
гарус	м.\nгарус (жүндөн ийрилген жип).
президентский,	­ая, -ое\nпрезидент-ке т.; президенттик.
завуч	м.\n(заведующий учебной частью) завуч (окуу бөлүмүнүн башчысы).
осведомиться	сов.\nкабар алуу, кабардар болуу, билүү;\nосведомиться о прибытии поезда поезддин келиши жөнүндө кабар алуу.
изобретение	ср.\n1. ойлоп чыгаруу, ойлоп табуу;\nизобретение радио радиону ойлоп чыгаруу;\n2. ойлоп чыгарылган нерсе, ойлоп табылган нерсе;\nновые изобретения советских инженеров советтик инженерлердин жаңыдан ойлоп чыгарган нерселери.
провизия	ж.\nазык-түлүк, тамак-аш.
синонимический,	­ая, -ое\nлингв.\nсинонимдүү (мааниси бир, айтылышы эки башка).
теллурий	м. астр.\nтеллурий (жердин күндү тегеренип жүрүшүн ачык көрсөтүүчү прибор).
завешать	сов. что чем, разг.\nтолтура асуу, толтура илүү;\nзавешать стены картинами дубалдын бооруна сүрөттөрдү толтура илүү.
искренний,	­яя, -ее\nак ниет, ак ниеттүү, чын жүрөктөн;\nискренняя радость чын жүрөктөн кубануу;\nискренний человек ак ниет киши.
госпитализация	ж.\nгоспиталга жаткыруу.
молодо	нареч.\nжаш;\nон молодо выглядит ал жаш көрүнөт.
аналитический,	­ая, -ое\n1. (основанный на применении анализа) анализдик;\nаналитический метод анализдик метод;\n2. (обладающай способностью анализировать) анализдөөгө жөндөмдүү;\nаналитический ум анализдөөгө жөндөмдүү акыл;\n3. (служащий для анализа) анализдик (анализ жасоо үчүн колдонулуучу);\nаналитические весы анализдик тараза;\nаналитическая химия аналитикалык химия;\nаналитическая геометрия аналитикалык геометрия;\nаналитические языки лингв. аналитикалык тилдер (бул тилдерде - сүйлөмдөгү сөздөрдүн ортосундагы байланыш сөздөрдүн формасы менен эмес, көмөкчү сөздөр менен же сөздөр тартиби ж.б. менен берилет, мис. кытай тили).
действительность	ж.\n1. (реальность) болмуш, чындык;\nискусство должно отражать действйтельность искусство чындыкты көрсөтүшү керек;\n2. юр. (сила действия) күч; жароо;\nв действительности чындыгында.
сообщество	ср.\n1. (объединение, группа) топ, коом, уюм;\nтайное сообщество жашырын коом (уюм, топ);\n2. биол. топ, түркүм (бирге жашоочу өсүмдүк же айбандар организминин группасы);\nв сообществе с кем-л. бирөө менен бирге, бирөө менен биргелешип, сөздү бир жерге токтотуп.
скотопромышленность	ж.\nмал чарба өнөр жайы, чарбанын бир тармагы (малды сатып алып союу үчүн семиртүү).
судоходный,	­ая, -ое\nкеме жүрө турган, кеме жүрүүгө ылайыктуу;\nсудоходная река кеме жүрүүгө ылайыктуу дарыя.
торжествующий,	­ая, -ее\n1. прич. от торжествовать;\n2. прил. салтанаттуу, көңүлү көтөрүңкү.
хлопчатник	м.\nкозо, пахта (өсүмдүк).
распахнуться	сов.\n1. (широко раскрыться) кең ачылуу, чоң ачылуу;\nокно распахнулось терезе кең ачылды;\n2. (об одежде) ачылуу (мис. топчуланбай палыпонун алды ачылуу).
разлёт	разг.\nтездик, күүлөнүш;\nудариться с разлёта обо что-л. күүлөнүп барып бир нерсеге урунуу;\nперескочить с разлёта через что-л. жүгүрүп барып, бир нерседен секирип өтүү.
посыпать	сов. что\nсебээлөө, себүү, чачуу, бир аз сээп коюу;\nпосыпать дорожки песком киши жүрүүчү кичине жолго кум чачуу.\nпосыпать\nнесов.\nсм. посыпать.
подранок	м. охот.\nжарадар болгон (аң, куш).
этикет	м.\nэтикет (белгилүү бир эл ичине сиңип калган, көпчүлүк жерде өзүн-өзү алып жүрүүнүн, бирөөгө мамиле кылуунун тартиби);\nсоблюдать этикет этикетти сактоо.
активистка	женск. р. к активист;\nактивистка.
развёртываться	несов.\n1. см. развернуться;\n2. страд. к развёртывать.
прямизна	ж.\nтүздүк;\nпрямизна линии сызыктын түздүгү.
порешить	сов. разг.\n1. что чечүү, макулдашып бүтүү;\n2. кого, уст. (убить) өлтүрүү, өлтүрүп салуу.
отпаяться	сов.\nданекери чыгып кетүү, каңы чыгуу, каңы ажырап кетүү;\nручка чайника отпаялась чайнектин туткасынын данекери чыгып кетти.
точильщик	м.\nчарыкчы, кайракчы.
оттиск	м.\n1. оттиск (так, тамга басуудан бир нерсенин бетине түшкөн тамга);\nкорректурный оттиск корректуралык оттиск;\nоттиск печати печаттын оттискасы;\n2. оттиск (китептен же журналдан алынып айрым басылган макала);\nоттиск статьи макаланын оттискасы;\nотдельный оттиск айрым оттиск.
почернеть	сов.\nкарайып калуу, каралжын тартуу.
нитроглицерин	м. мед., хим.\nнитроглицерин (азот кислоталары глицерин менен кошулуп пайда болуучу май сымал суюктук).
альпинист	м.\nальпинист (альпинизм менен иришүүчү адам; тоо туристи).
ль	частица и союз\nсм. ли.
обвинительный,	­ая, -ое\nобвинение 1-ге т.;\nобвинительное заключение айыптоо корутундусу;\nобвинительная речь айыптоо речи;\nобвинительный приговор айыптоо өкүмү.
шахтенный,	­ая, -ое\nсм. шахтный.
брюхо	ср.\n(животных) өөк; разг. (человека) карын.
бархан	м.\nбархан (чөлдөгү кум дөбө).
ревизионист	м. полит.\nревизионист (ревизионизмди жактоочу).
наверняка	нареч. разг.\n1. (обязательно) шексиз, сөзсүз;\nон придёт наверняка ал шексиз келет;\n2. (безошибочно) катасыз, жаңылышпастан;\nдействовать наверняка жаңылышсыз аракет кылуу.
заблистать	сов. поэт.\nсм. заблестеть.
запаять	сов. что\nкаңдап жамоо, данекерлөө, данекерлеп жамоо;\nзапаять кастрюлю кастрюлду данекерлеп жамоо.
непоколебимый,	­ая, -ое\nкалкылдабас, тайсалбас, туруктуу, кажыбас, кебелбес, бекем;\nнепоколебимая вера туруктуу ишеним.
товарообмен	м. эк.\nтовар алмашуу (эл чарбачылыгында товарга товарды алмаштыруу).
сомнамбулизм	м. мед.\nсомнамбулизм (элирүү, элирме, психикалык оорулуу адамдын уктап жатып элирип басып жүрүшү).
спазма	ж.\nспазма (булчуңдун диртилдеп тартышы);\nсердечные спазмы мед. жүрөк спазмалары (жүрөк булчуңдарынын тартышы).
донимать	несов.\nсм. донять.
весенний,	­яя, -ее\nжазгы, жазындагы;\nвесенняя посевная кампания жазгы кош айдоо кампаниясы;\nвесенняя пора жазгы мезгил.
пустозвон	м. разг.\nала көөдөн, орунсуз сөздү көп сүйлөгөн адам, жел өпкө.
высвободиться	сов.\nбошотулуу.
зачаточный,	­ая, -ое\nтүйүлгөн;\nв зачаточном состоянии түйүлдүк абалында.
отрывок	м.\nүзүндү;\nнапечатать отрывок романа романдын үзүндүсүн басып чыгаруу;\nотрывки из опер опералардан алынган үзүндүлөр.
картёжный,	­ая, -ое\nкарта 2-ге т.;\nкартёжная игра карта оюну.
централизоваться	1. сов. и несов. борбордошуу;\n2. страд. к централизовать.
свежо	нареч.\nсалкын;\nночью на улице свежо түн ичинде эшикте, тышта салкын болот.
выкрутить	сов. что, разг.\n1. (вывинтить) бурап чыгаруу;\nвыкрутить лампочку лампочканы бурап чыгаруу;\n2. (выжать) сыгуу, толгоп сыгуу, бурап сыгуу;\nвыкрутить мокрое бельё суу кирди толгоп сыгуу.
немедля	нареч. уст.\nсм. немедленно.
слабодушный	­ая, -ое\nжумшак көңүлдүү, кайратсыз, оома.
сопроводить	сов. что чем, офиц.\nбирге (кошо) жиберүү;\nсопроводить заявление справкой арызды справка менен кошо жиберүү.
позлить	сов. кого\nбир аз ачуулантуу, ачуусун келтирүү, ачуусуна тийүү, бир аз жинин келтирүү.
сварливый,	­ая, -ое\nажаан, бажылдаак, долу, тажаал;\nсварливая женщина ажаан аял.
диалогический,	­ая, -ое\nдиалог түрүндө, сүйлөштүрүү түрүндө.
пористый,	­ая, -ое\nпоралуу (майда тешиктүү);\nпористая кожа поралуу тери.
промысловый,	­ая, -ое\nпромысел-ге т.; промыслолук;\nпромысловая кооперация промыслолук кооперация.
риторичный,	­ая, -ое\nриторикалык (кооз, бирок мазмуну аз; кургак чечендикиндей);\nриторичный стиль риторикалык стиль.
выучиться	сов. чему и с неопр.\n(приобрести знания) үйрөнүп алуу, үйрөнүү;\nвыучиться читать окууга үйрөнүү.
руль	м.\n1. руль;\nправить рулём или сидеть за рулём или быть на руле рулду башкаруу, рулда отуруу, рулда болуу;\n2. перен. руль;\nруль государственного управления мамлекетти башкаруунун рулу;\nбез руля и без ветрил айкын-ачык багыты жок, айкын-ачык багытсыз.
отсутствующий,	­ая, -ее\n1. прич. от отсутствовать;\n2. прил. и в знач. сущ. м. жок болгон, болбогон, келбей калган;\nсегодня нет отсутствующих бүгүн келбей калгандар жок;\nотсутствующий взгляд кайдыгер гана мелтиреп кароо.
троиться	несов.\n1. (разделяться на трое) үчкө бөлүнүү;\n2. чаще безл. (казаться тройным) үчөө болуп көрүнүү;\nу него троится в глазах анын көзүнө учөө болуп көрүнүп турат.
стеклографический,	­ая, -ое\nстеклография-га т.; стеклографиялык;\nстеклографический способ печатания басуунун стеклографиялык жолу.
месткомовский,	­ая, -ое\nместком-го т.;\nместкомовское заседание местком заседаниеси.
скарабей	м.\nскарабей (1. зоол. түштүк өлкөлөрдө жашсочу көң коңузуңун бир түрү; 2. ист. байыркы египеттиктерде - ыйык коңузга окшотуп жасалган фигура; анын монетага жана таштын бетине салынган сүрөтү).
пронырливость	ж. разг.\nайлакердик, куулук, ичи-коюнга кирип алууга эпчилдик.
кубок	м.\nкубок (стакан формасындагы металл идиш);\nкубок вина бир кубок вино;\nпереходящий кубок спорт. көчмө кубок өтмө кубок.
меновой,	­ая, -ое\nэк.\nайрыбаш кылма, алмашма;\nменовая торговля алмашма соода.
зачем	нареч. вопр. и относ.\nэмне үчүн, неге, эмнеге, эмнеликтен;\nзачем ты пришёл? сен эмнеге келдиң?;\nвот зачем он пришёл ушун үчүн келген турбайбы.
щуплый,	­ая, -ое\nразг.\nырбыйган, бүрбүйгөн, чүрүшкөн;\nщуплый человек чүрүшкөн арык киши.
аккредитив	м. фин.\nаккредитив (сактык кассасы вкладчикке берген документ; бул документ боюнча вкладчик өзүнүн сактоого тапшырган акчасын СССРдин кайсы жериндеги сактык кассасынан болсо да алууга укуктуу).
безводный,	­ая, -ое\nсуусуз;\nбезводная пустыня суусуз чөл;\nбезводная кислота хим. кургак кислота (составында суу жок).
сливки	только мн.\n1. каймак;\n2. перен. каймак (бир нерсенин мыкты, тандалган бөлүгү);\nсливки общества коомдун каймагы;\nснимать сливки с чего-л. бир нерсенин каймагын шыпырып алуу.
прочёт	м. разг.\nэсептен жаңылуу, эсепте жаңылыш кетирүү.
меандр	м. геол.\nмеандр (суунун имерилиши).
хлебопекарный,	­ая, -ое\nнан бышыруучу;\nхлебопекарная промышленность нан бышыруучу өнөр жай.
тактика	ж.\nтактика (1. воен. согушту жүргүзүү жөнүндөгү илим; согуш мезгилинде аскерди башкаруу искусствосу; 2. полит. көздөгөн максатка жетүү үчүн колдонулуучу күрөш жолу, методдору).
проколоть	проколоть I\nсов.\n1. что тешүү, сайып тешүү, жаруу, көзөө;\nпроколоть шину гвоздём шинаны мык менен сайып тешүү;\nпроколоть нарыв шишикти жаруу;\n2. кого-что (колющим оружием) сайып тешүү, матыра саюу.\nпроколоть II\nсов. что\nжаруу;\nя весь день проколол дрова мен керели кечке отун жардым.
